lease_id,hostname,name,beg,end
1,37nodes.r2lab.inria.fr,inria_naoufal.mesh,2016-01-25 10:00:00,2016-01-25 19:00:00.000
2,37nodes.r2lab.inria.fr,inria_naoufal.mesh,2016-01-26 08:00:00,2016-01-26 20:30:00.000
1747,37nodes.r2lab.inria.fr,inria_naoufal.mesh,2016-01-27 08:30:00,2016-01-27 20:00:00.000
4,37nodes.r2lab.inria.fr,inria_mario.script,2016-01-28 09:00:00,2016-01-28 10:30:00.000
1749,37nodes.r2lab.inria.fr,inria_naoufal.mesh,2016-01-29 10:30:00,2016-01-29 23:00:00.000
6,37nodes.r2lab.inria.fr,inria_naoufal.mesh,2016-02-01 11:00:00,2016-02-01 22:30:00.000
7,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-02-02 13:30:00,2016-02-02 15:00:00.000
1752,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-02-02 15:00:00,2016-02-02 16:00:00.000
1753,37nodes.r2lab.inria.fr,inria_mario.script,2016-02-02 16:00:00,2016-02-02 17:00:00.000
10,37nodes.r2lab.inria.fr,inria_naoufal.mesh,2016-02-02 17:00:00,2016-02-02 23:00:00.000
12,37nodes.r2lab.inria.fr,inria_naoufal.mesh,2016-02-03 07:00:00,2016-02-03 14:00:00.000
13,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-02-03 14:00:00,2016-02-03 15:00:00.000
1758,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-02-03 15:30:00,2016-02-03 17:00:00.000
1759,37nodes.r2lab.inria.fr,inria_mario.script,2016-02-03 17:30:00,2016-02-03 19:00:00.000
16,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-02-04 08:00:00,2016-02-04 09:00:00.000
1761,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-02-04 13:00:00,2016-02-04 14:00:00.000
18,37nodes.r2lab.inria.fr,inria_mario.script,2016-02-05 14:00:00,2016-02-05 16:00:00.000
1764,37nodes.r2lab.inria.fr,inria_naoufal.mesh,2016-02-06 09:00:00,2016-02-06 14:00:00.000
1765,37nodes.r2lab.inria.fr,inria_mario.script,2016-02-06 14:00:00,2016-02-06 16:30:00.000
1766,37nodes.r2lab.inria.fr,inria_naoufal.mesh,2016-02-06 16:30:00,2016-02-06 23:00:00.000
23,37nodes.r2lab.inria.fr,inria_mario.script,2016-02-07 16:30:00,2016-02-07 18:30:00.000
24,37nodes.r2lab.inria.fr,inria_naoufal.mesh,2016-02-08 09:30:00,2016-02-08 20:30:00.000
25,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-02-10 16:00:00,2016-02-10 17:00:00.000
1770,37nodes.r2lab.inria.fr,inria_mario.script,2016-02-10 17:30:00,2016-02-10 19:00:00.000
1771,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-02-10 19:00:00,2016-02-10 20:00:00.000
29,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-02-11 12:30:00,2016-02-11 15:00:00.000
1776,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-02-11 15:00:00,2016-02-11 16:00:00.000
1777,37nodes.r2lab.inria.fr,inria_mario.script,2016-02-11 17:30:00,2016-02-11 18:30:00.000
1779,37nodes.r2lab.inria.fr,inria_mario.script,2016-02-11 22:09:27,2016-02-11 22:30:00.000
1789,37nodes.r2lab.inria.fr,inria_mario.script,2016-02-12 14:00:00,2016-02-12 15:00:00.000
1792,37nodes.r2lab.inria.fr,inria_mario.script,2016-02-12 15:30:00,2016-02-12 16:30:00.000
1793,37nodes.r2lab.inria.fr,inria_mario.script,2016-02-12 17:30:00,2016-02-12 18:30:00.000
1794,37nodes.r2lab.inria.fr,inria_mario.script,2016-02-12 19:30:00,2016-02-12 20:00:00.000
51,37nodes.r2lab.inria.fr,inria_naoufal.mesh,2016-02-15 07:00:00,2016-02-15 09:30:00.000
